mir	disease	pmid
mir-365a	Lupus Vulgaris	18998140
mir-365b	Lupus Vulgaris	18998140
mir-423	Lupus Vulgaris	18998140
mir-484	Lupus Vulgaris	18998140
mir-486	Lupus Vulgaris	18998140
mir-500a	Lupus Vulgaris	18998140
mir-518b	Lupus Vulgaris	18998140
mir-557	Lupus Vulgaris	18998140
mir-596	Lupus Vulgaris	18998140
mir-602	Lupus Vulgaris	18998140
mir-611	Lupus Vulgaris	18998140
mir-615	Lupus Vulgaris	18998140
mir-629	Lupus Vulgaris	18998140
mir-637	Lupus Vulgaris	18998140
mir-642a	Lupus Vulgaris	18998140
mir-654	Lupus Vulgaris	18998140
mir-663a	Lupus Vulgaris	18998140
mir-769	Lupus Vulgaris	18998140
mir-99a	Lupus Vulgaris	18998140
mir-181a-2	Leukemia	19022373
mir-199b	Leukemia	19022373
mir-378a	Leukemia	19022373
mir-454	Leukemia	19022373
mir-575	Leukemia	19022373
mir-10a	Leukemia, Myeloid, Chronic-Phase	19074828
mir-22	Leukemia, Lymphocytic, Chronic, B-Cell	19144983
mir-29c	Leukemia, Lymphocytic, Chronic, B-Cell	19144983
mir-373	Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic	19206004
mir-451a	Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic	19206004
mir-143	Colorectal Carcinoma	19242066
mir-145	Colorectal Carcinoma	19242066
mir-346	Schizophrenia	19264453
mir-150	Marek Disease	19297609
mir-223	Marek Disease	19297609
mir-363	Autistic Disorder	19360674
mir-92a-1	Autistic Disorder	19360674
mir-92a-2	Autistic Disorder	19360674
mir-181b-1	Leukemia, Lymphocytic, Chronic, B-Cell	19717645
mir-181b-2	Leukemia, Lymphocytic, Chronic, B-Cell	19717645
mir-181c	Leukemia, Lymphocytic, Chronic, B-Cell	19717645
mir-223	Leukemia, Lymphocytic, Chronic, B-Cell	19717645
mir-29b-2	Leukemia, Lymphocytic, Chronic, B-Cell	19717645
mir-145	Atherosclerosis	19744308
mir-150	Sepsis	19823581
mir-199b	Choriocarcinoma	19900756
mir-146a	Sepsis	20188071
mir-223	Sepsis	20188071
mir-200a	Glomerulonephritis	20364043
mir-200b	Glomerulonephritis	20364043
mir-429	Glomerulonephritis	20364043
mir-106b	Child Development Disorders, Pervasive	20374639
mir-181b-1	Leukemia, Lymphocytic, Chronic, B-Cell	20393129
mir-181b-2	Leukemia, Lymphocytic, Chronic, B-Cell	20393129
let-7i	Melanoma	20529253
mir-106b	Melanoma	20529253
mir-107	Melanoma	20529253
mir-17	Melanoma	20529253
mir-20a	Melanoma	20529253
mir-20b	Melanoma	20529253
mir-214	Melanoma	20529253
mir-216a	Melanoma	20529253
mir-217	Melanoma	20529253
mir-221	Melanoma	20529253
mir-330	Melanoma	20529253
mir-452	Melanoma	20529253
mir-509-3	Melanoma	20529253
mir-517a	Melanoma	20529253
mir-518e	Melanoma	20529253
mir-519b	Melanoma	20529253
mir-593	Melanoma	20529253
mir-621	Melanoma	20529253
mir-646	Melanoma	20529253
mir-767	Melanoma	20529253
mir-126	Diabetes Mellitus, Type 2	20651284
mir-15a	Diabetes Mellitus, Type 2	20651284
mir-191	Diabetes Mellitus, Type 2	20651284
mir-197	Diabetes Mellitus, Type 2	20651284
mir-20b	Diabetes Mellitus, Type 2	20651284
mir-21	Diabetes Mellitus, Type 2	20651284
mir-223	Diabetes Mellitus, Type 2	20651284
mir-24-1	Diabetes Mellitus, Type 2	20651284
mir-24-2	Diabetes Mellitus, Type 2	20651284
mir-320a	Diabetes Mellitus, Type 2	20651284
mir-486	Diabetes Mellitus, Type 2	20651284
mir-101-1	Lymphoma, Large-Cell, Anaplastic	20805506
mir-101-2	Lymphoma, Large-Cell, Anaplastic	20805506
mir-181b-1	Autistic Disorder	20868653
mir-486	Autistic Disorder	20868653
mir-27a	Leukemia	21070600
mir-331	Leukemia	21070600
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-16-1	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-181a-2	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-181b-1	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-181b-2	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-29b-1	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
mir-29b-2	Leukemia, Lymphocytic, Chronic, B-Cell	21130495
let-7d	Pancreatic Neoplasms	21139804
mir-146a	Pancreatic Neoplasms	21139804
mir-126	Heart Failure	21157109
mir-424	Hemangioma	21179471
mir-503	Diabetes Mellitus	21220732
mir-125b-1	Human Immunodeficiency Virus Infection	21224041
mir-125b-2	Human Immunodeficiency Virus Infection	21224041
mir-150	Human Immunodeficiency Virus Infection	21224041
mir-28	Human Immunodeficiency Virus Infection	21224041
mir-382	Human Immunodeficiency Virus Infection	21224041
let-7a-1	Carcinoma, Renal Cell	21229250
let-7a-2	Carcinoma, Renal Cell	21229250
let-7a-3	Carcinoma, Renal Cell	21229250
let-7b	Carcinoma, Renal Cell	21229250
let-7c	Carcinoma, Renal Cell	21229250
let-7d	Carcinoma, Renal Cell	21229250
let-7e	Carcinoma, Renal Cell	21229250
let-7f-1	Carcinoma, Renal Cell	21229250
let-7f-2	Carcinoma, Renal Cell	21229250
let-7g	Carcinoma, Renal Cell	21229250
let-7i	Carcinoma, Renal Cell	21229250
mir-26a-1	Carcinoma, Renal Cell	21229250
mir-26a-2	Carcinoma, Renal Cell	21229250
mir-30c-1	Carcinoma, Renal Cell	21229250
mir-30c-2	Carcinoma, Renal Cell	21229250
let-7b	Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic	21242186
mir-16-1	Carcinoma, Hepatocellular	21278583
mir-16-2	Carcinoma, Hepatocellular	21278583
mir-199a-1	Carcinoma, Hepatocellular	21278583
mir-199a-2	Carcinoma, Hepatocellular	21278583
mir-1-1	Hypertrophy	21303526
mir-1-2	Hypertrophy	21303526
mir-133a-1	Hypertrophy	21303526
mir-133a-2	Hypertrophy	21303526
mir-101-1	Glioblastoma	21321380
mir-101-2	Glioblastoma	21321380
mir-141	Systemic Lupus Erythematosus	21372198
mir-192	Systemic Lupus Erythematosus	21372198
mir-200a	Systemic Lupus Erythematosus	21372198
mir-200b	Systemic Lupus Erythematosus	21372198
mir-200c	Systemic Lupus Erythematosus	21372198
mir-205	Systemic Lupus Erythematosus	21372198
mir-429	Systemic Lupus Erythematosus	21372198
mir-92a-1	Lymphoma	21383985
mir-92a-2	Lymphoma	21383985
mir-103a-1	Leukemia, Lymphocytic, Chronic, B-Cell	21408091
mir-103a-2	Leukemia, Lymphocytic, Chronic, B-Cell	21408091
mir-181a-2	Leukemia, Lymphocytic, Chronic, B-Cell	21408091
mir-181b-1	Leukemia, Lymphocytic, Chronic, B-Cell	21408091
mir-181b-2	Leukemia, Lymphocytic, Chronic, B-Cell	21408091
mir-16-1	Leukemia-Lymphoma, Adult T-Cell	21441948
mir-100	Carcinoma, Adrenocortical	21472710
mir-126	Mesothelioma	21483773
mir-451a	Leukemia, Myeloid, Chronic	21511335
mir-106a	Carcinoma, Lung, Non-Small-Cell	21544802
mir-146b	Carcinoma, Lung, Non-Small-Cell	21544802
mir-155	Carcinoma, Lung, Non-Small-Cell	21544802
mir-17	Carcinoma, Lung, Non-Small-Cell	21544802
mir-221	Carcinoma, Lung, Non-Small-Cell	21544802
mir-223	Carcinoma, Lung, Non-Small-Cell	21544802
mir-27a	Carcinoma, Lung, Non-Small-Cell	21544802
mir-590	Alzheimer Disease	21548758
mir-342	Glioblastoma	21561454
mir-181b-1	Leukemia, Lymphocytic, Chronic, B-Cell	21636858
mir-181b-2	Leukemia, Lymphocytic, Chronic, B-Cell	21636858
mir-671	Myelodysplastic Syndromes	21649547
mir-375	Squamous Cell Carcinoma, Esophageal	21673684
mir-143	Leukemia, Myeloid, Acute	21678057
mir-29a	Leukemia, Myeloid, Acute	21678057
mir-21	Carcinoma, Hepatocellular	21749846
mir-29a	Leukemia, Myeloid, Acute	21818844
mir-17	Lymphoma	21910161
mir-181a-2	Lymphoma	21910161
mir-19a	Lymphoma	21910161
mir-19b-1	Lymphoma	21910161
mir-19b-2	Lymphoma	21910161
mir-203	Lymphoma	21910161
mir-218-1	Lymphoma	21910161
mir-218-2	Lymphoma	21910161
mir-133b	Hypertension	21924071
mir-296	Hypertension	21924071
mir-152	Preeclampsia	22095477
mir-218-1	Urinary Bladder Cancer	22237456
mir-218-2	Urinary Bladder Cancer	22237456
mir-107	Breast Neoplasms	22242178
mir-1469	Breast Neoplasms	22242178
mir-1471	Breast Neoplasms	22242178
mir-182	Breast Neoplasms	22242178
mir-1915	Breast Neoplasms	22242178
mir-193a	Breast Neoplasms	22242178
mir-2355	Breast Neoplasms	22242178
mir-24-1	Breast Neoplasms	22242178
mir-24-2	Breast Neoplasms	22242178
mir-3130-1	Breast Neoplasms	22242178
mir-3130-2	Breast Neoplasms	22242178
mir-3186	Breast Neoplasms	22242178
mir-526a-1	Breast Neoplasms	22242178
mir-526a-2	Breast Neoplasms	22242178
mir-625	Breast Neoplasms	22242178
mir-718	Breast Neoplasms	22242178
mir-874	Breast Neoplasms	22242178
mir-181a-2	Leukemia, Myeloid, Acute	22251480
mir-181b-1	Leukemia, Myeloid, Acute	22251480
mir-181b-2	Leukemia, Myeloid, Acute	22251480
mir-181c	Leukemia, Myeloid, Acute	22251480
mir-181d	Leukemia, Myeloid, Acute	22251480
mir-508	Carcinoma, Renal Cell	22369946
mir-509-1	Carcinoma, Renal Cell	22369946
mir-509-2	Carcinoma, Renal Cell	22369946
mir-509-3	Carcinoma, Renal Cell	22369946
mir-126	Mesothelioma	22374169
let-7c	Eosinophilic Esophagitis	22391115
mir-144	Eosinophilic Esophagitis	22391115
mir-193a	Eosinophilic Esophagitis	22391115
mir-193b	Eosinophilic Esophagitis	22391115
mir-203	Eosinophilic Esophagitis	22391115
mir-210	Eosinophilic Esophagitis	22391115
mir-211	Eosinophilic Esophagitis	22391115
mir-30a	Eosinophilic Esophagitis	22391115
mir-365a	Eosinophilic Esophagitis	22391115
mir-375	Eosinophilic Esophagitis	22391115
mir-517a	Ectopic Pregnancy	22395025
mir-519d	Ectopic Pregnancy	22395025
mir-525	Ectopic Pregnancy	22395025
let-7a-1	Carcinoma, Renal Cell	22440013
let-7a-2	Carcinoma, Renal Cell	22440013
let-7a-3	Carcinoma, Renal Cell	22440013
let-7f-1	Carcinoma, Renal Cell	22440013
let-7f-2	Carcinoma, Renal Cell	22440013
mir-142	Carcinoma, Renal Cell	22440013
mir-150	Carcinoma, Renal Cell	22440013
mir-19a	Carcinoma, Renal Cell	22440013
mir-219	Carcinoma, Renal Cell	22440013
mir-302b	Carcinoma, Renal Cell	22440013
mir-302c	Carcinoma, Renal Cell	22440013
mir-367	Carcinoma, Renal Cell	22440013
mir-381	Carcinoma, Renal Cell	22440013
mir-451a	Carcinoma, Renal Cell	22440013
mir-154	Graves Disease	22456620
mir-376b	Graves Disease	22456620
mir-431	Graves Disease	22456620
mir-34a	Colorectal Carcinoma	22648208
mir-361	Carcinoma, Lung, Non-Small-Cell	22675530
mir-625	Carcinoma, Lung, Non-Small-Cell	22675530
mir-181a-2	Breast Neoplasms	22692639
let-7b	Prostate Neoplasms	22719071
mir-126	Myocardial Infarction	22719221
mir-21	Lung Neoplasms	22782668
mir-24	Lung Neoplasms	22782668
mir-92a-1	Multiple Myeloma	22829237
mir-155	Hepatitis C Virus Infection	22846613
mir-218-1	Gastric Neoplasms	22860003
mir-218-2	Gastric Neoplasms	22860003
let-7c	Lung Neoplasms	22862169
let-7d	Lung Neoplasms	22862169
let-7e	Lung Neoplasms	22862169
let-7g	Lung Neoplasms	22862169
mir-126	Lung Neoplasms	22862169
mir-145	Lung Neoplasms	22862169
mir-98	Lung Neoplasms	22862169
mir-409	Prostate Neoplasms	22887127
mir-125b	Prostate Neoplasms	22892455
mir-146a	Prostate Neoplasms	22892455
mir-421	Gastric Neoplasms	22926798
mir-29a	Leukemia, Myeloid, Acute	22981932
mir-21	Breast Neoplasms	23052693
mir-92a-1	Breast Neoplasms	23052693
mir-92a-2	Breast Neoplasms	23052693
mir-17	Systemic Lupus Erythematosus	23129428
mir-145	Systemic Lupus Erythematosus	23199328
mir-17	Endometriosis	23203215
mir-20a	Endometriosis	23203215
mir-22	Endometriosis	23203215
mir-146b	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-186	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-19a	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-20a	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-223	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-29c	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-324	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-484	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-660	Leukemia, Lymphocytic, Chronic, B-Cell	23286334
mir-198	Lung Neoplasms	23354517
mir-150	Sepsis	23372743
mir-30a	Breast Neoplasms	23389917
mir-106a	Systemic Lupus Erythematosus	23401079
mir-17	Systemic Lupus Erythematosus	23401079
mir-203	Systemic Lupus Erythematosus	23401079
mir-20a	Systemic Lupus Erythematosus	23401079
mir-92a	Systemic Lupus Erythematosus	23401079
mir-133	Heart Failure	23711953
mir-197	Primary Biliary Cirrhosis	23776611
mir-505	Primary Biliary Cirrhosis	23776611
let-7f	Alzheimer Disease	23895045
mir-103a	Alzheimer Disease	23895045
mir-107	Alzheimer Disease	23895045
mir-1285	Alzheimer Disease	23895045
mir-26a	Alzheimer Disease	23895045
mir-26b	Alzheimer Disease	23895045
mir-532	Alzheimer Disease	23895045
mir-145	Myasthenia Gravis	24043548
mir-21	Leukemia	24141112
mir-15b	Multiple Sclerosis	24277735
mir-223	Multiple Sclerosis	24277735
mir-23a	Multiple Sclerosis	24277735
mir-1	Polycystic Kidney Disease	24489795
mir-29a	Parkinson Disease	24648008
mir-96	Leukemia, Myeloid, Acute	24678958
mir-199b	Leukemia, Myeloid, Chronic	24680705
let-7e	Retinoblastoma	24748987
mir-146	Diabetes Mellitus, Type 1	24796653
mir-125b	Melanoma	24878024
mir-16	Melanoma	24878024
mir-107	Diabetes Mellitus	24908639
mir-146a	Diabetes Mellitus	24908639
mir-223	Diabetes Mellitus	24908639
mir-495	Diabetes Mellitus	24908639
let-7b	Crohn Disease	24910152
mir-9-1	Methylmalonic Acidemia	24927441
mir-155	Sjogren Syndrome	24931100
mir-1	Bladder Neoplasms	25015192
mir-16	Heart Failure	25033200
mir-195	Breast Neoplasms	25103018
mir-181b	Autism Spectrum Disorder	25126405
mir-21	Rheumatoid Arthritis	25164131
mir-146b	Fatty Liver, Non-Alcoholic	25232454
mir-29a	Fatty Liver, Non-Alcoholic	25232454
mir-124	Stroke	25257664
mir-9	Stroke	25257664
mir-150	Sepsis	25394245
mir-320a	Multiple Sclerosis	25468268
mir-210	Acute Cerebral Infarction	25476086
mir-146a	Diabetes Mellitus, Type 2	25500583
mir-155	Diabetes Mellitus, Type 2	25500583
mir-22	Premature Ovarian Failure	25585503
mir-1	Arrhythmia	25625292
mir-223	Leukemia, Myeloid, Acute	25793640
mir-218	Carcinoma, Esophageal	25812647
mir-181b	Atherosclerosis	25896908
mir-16	Plasmodium vivax Infection	25913668
mir-451	Plasmodium vivax Infection	25913668
mir-148a	Leukemia, Myeloid, Acute	25924238
mir-214	Acute Myocardial Infarction	25931214
mir-145	Coronary Artery Disease	25938589
mir-22	Rheumatoid Arthritis	25939484
mir-181c	Myasthenia Gravis	25962782
mir-130a	Spinal Cord Injuries	25973054
mir-126	Atherosclerosis	25975504
mir-33b	Multiple Myeloma	25975752
mir-374a	Hypoxic-Ischemic Encephalopathy	26001314
mir-146a	Stroke, Ischemic	26044809
mir-143	Alzheimer Disease	26078483
mir-146a	Alzheimer Disease	26078483
mir-31	Alzheimer Disease	26078483
mir-93	Alzheimer Disease	26078483
mir-378	Dengue Virus Infection	26166761
mir-155	Diabetes Mellitus	26188366
mir-130b	Heart Failure	26211628
mir-143	Obesity	26223376
mir-335	Obesity	26223376
mir-205	Glioma	26230475
mir-203	Gastric Neoplasms	26233325
mir-126	Diabetes Mellitus	26299579
mir-181b	Atherosclerosis	26420120
mir-15a	Diabetes Mellitus	26460159
mir-106a	Cholangiocarcinoma	26534789
mir-27a	Acute Heart Failure	26569364
mir-126	Acute Heart Failure	26580972
mir-122	Stroke	26661204
mir-150	Spondylarthritis	26689798
mir-181a	Leukemia, Myeloid, Chronic	26722250
mir-106b	Human Immunodeficiency Virus Infection	26755399
mir-20a	Human Immunodeficiency Virus Infection	26755399
mir-146a	Squamous Cell Carcinoma, Esophageal	26794279
mir-221	Prostate Neoplasms	26831660
mir-708	Prostate Neoplasms	26831660
mir-199b	Leukemia, Myeloid, Acute	26848406
mir-199b	Polycystic Ovarian Syndrome	26860517
mir-34b	Leukemia, Myeloid, Acute, Pediatric	26861642
mir-194	Cholangiocarcinoma	26864161
mir-483	Cholangiocarcinoma	26864161
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	26908869
mir-16-1	Leukemia, Lymphocytic, Chronic, B-Cell	26908869
mir-126	Diabetes Mellitus	27005938
mir-20a	Endometriosis	27049094
mir-155	Chronic Hepatitis B	27110261
mir-106a	Aortic Stenosis	27129184
mir-148a	Aortic Stenosis	27129184
mir-204	Aortic Stenosis	27129184
mir-211	Aortic Stenosis	27129184
mir-30a	Aortic Stenosis	27129184
mir-31	Aortic Stenosis	27129184
mir-424	Aortic Stenosis	27129184
mir-1297	Squamous Cell Carcinoma, Esophageal	27152453
mir-125b	Carcinoma, Hepatocellular, HBV-Related	27152955
mir-181a	Human Immunodeficiency Virus Infection	27171002
mir-200c	Breast Neoplasms	27197674
mir-210	Breast Neoplasms	27197674
mir-182	Atherosclerosis	27199451
mir-181a	Allergic Rhinitis	27199509
mir-19a	Lung Fibrosis	27312312
mir-126	Coronary Artery Disease	27321479
mir-126	Diabetes Mellitus, Type 2	27321479
mir-30	Atherosclerosis	27379414
mir-375	Diabetes Mellitus	27383196
mir-4505	Anxiety Disorders	27423364
mir-663	Anxiety Disorders	27423364
mir-320b	Carotid Artery Diseases	27460454
mir-335	Spinal Muscular Atrophy	27483257
mir-31	Systemic Lupus Erythematosus	27510529
mir-200b	Kideny Transplant Rejection	27521993
mir-29a	Leukemia, Lymphoblastic	27535859
mir-663	Leukemia	27535859
mir-150	Cholangiocarcinoma	27658773
mir-155	Fatty Liver, Non-Alcoholic	27832630
mir-335	Acute Ischemic Stroke	27856935
mir-126	Cardiovascular Diseases [unspecific]	28065883
mir-132	Cardiovascular Diseases [unspecific]	28065883
mir-27a	Heart Failure	28293796
mir-204	Aortic Valve Disease	28377507
mir-150	Leukemia, Lymphocytic, Chronic, B-Cell	28407516
mir-155	Myocardial Infarction	28618412
mir-133a	Vascular Hypertrophy	28772031
let-7f	Leukemia, Lymphoblastic, Acute, Childhood	28910942
mir-25	Leukemia, Lymphoblastic, Acute, Childhood	28910942
mir-5100	Leukemia, Lymphoblastic, Acute, Childhood	28910942
mir-126	Coronary Artery Disease	29062343
mir-18a	Leukemia, Lymphoblastic, Acute	29068867
mir-21	Diabetes Mellitus, Type 2	29113498
mir-638	Carcinoma, Hepatocellular	29278659
mir-133a	Myocardial Infarction	29324314
mir-133b	Myocardial Infarction	29324314
mir-222	Preeclampsia	29381395
mir-34a	Pulmonary Hypertension	29431643
mir-204	Frontotemporal Dementia	29434051
mir-632	Frontotemporal Dementia	29434051
mir-17	Myocardial Infarction	29536180
mir-20a	Diabetes Mellitus, Gestational	29556924
mir-221	Colorectal Carcinoma	29630521
mir-29a	Spinal Stenosis	29749498
let-7d	Familial Mediterranean Fever	29787577
mir-107	Familial Mediterranean Fever	29787577
mir-148b	Familial Mediterranean Fever	29787577
mir-122	Preeclampsia	29800045
mir-126	Preeclampsia	29800045
mir-146a	Preeclampsia	29800045
mir-1246	Systemic Lupus Erythematosus	29873187
mir-4732	Systemic Lupus Erythematosus	29873187
mir-6088	Systemic Lupus Erythematosus	29873187
mir-194	Traumatic Brain Injury	29873258
mir-450	Traumatic Brain Injury	29873258
mir-128	Systemic Lupus Erythematosus	29873766
mir-181a	Systemic Lupus Erythematosus	29873766
mir-361	Systemic Lupus Erythematosus	29873766
mir-142	Acute Lung Injury	29904430
mir-301b	Acute Lung Injury	29904430
mir-503	Acute Lung Injury	29904430
mir-547	Acute Lung Injury	29904430
mir-141	Parkinson Disease	29935433
mir-199a	Parkinson Disease	29935433
mir-299	Parkinson Disease	29935433
mir-518e	Parkinson Disease	29935433
mir-519a	Parkinson Disease	29935433
mir-151a	Lupus Nephritis	29998838
mir-15b	Systemic Lupus Erythematosus	30008716
mir-19b	Systemic Lupus Erythematosus	30008716
mir-22	Systemic Lupus Erythematosus	30008716
mir-25	Systemic Lupus Erythematosus	30008716
mir-93	Systemic Lupus Erythematosus	30008716
mir-126	Kidney Neoplasms	30017193
mir-17	Kidney Neoplasms	30017193
mir-21	Kidney Neoplasms	30017193
mir-214	Arthritis	30018954
mir-346	Arthritis	30018954
mir-25	Diabetic Nephropathy	30019103
mir-26a	Diabetic Nephropathy	30019103
mir-125b	Anemia	30041004
mir-150	Leukemia, Myeloid, Chronic	30049824
mir-638	Atherosclerosis	30052155
mir-126	Prostate Neoplasms	30061955
mir-15a	Prostate Neoplasms	30061955
mir-192	Prostate Neoplasms	30061955
mir-377	Prostate Neoplasms	30061955
let-7a	Lupus Nephritis	30118248
mir-21	Lupus Nephritis	30118248
mir-375	Squamous Cell Carcinoma, Esophageal	30127929
mir-449b	Stroke	30135469
mir-581	Stroke	30135469
mir-941	Stroke	30135469
mir-21	Chronic Hepatitis B	30147020
mir-26a	Chronic Hepatitis B	30147020
mir-15b	Diabetic Nephropathy	30165157
mir-16	Diabetic Nephropathy	30167868
mir-29a	Diabetic Nephropathy	30167868
mir-103a	Diabetes Mellitus, Type 2	30195754
